,met,mass,sfr,id,snapshot
0,0.00190128,7.968633206529369,0.00359077,861,0
1,0.00279085,8.55073914234414,0.00327669,8925,1
2,0.0039532000000000005,8.660474470993645,0.00121036,49451,2
3,0.00440951,8.65043974290437,0.000621947,85697,3
4,0.00523865,8.743579657352505,0.00046113,100022,4
5,0.0027838200000000002,8.81505826804977,0.00611898,61334,5
6,0.00272315,8.768196847974089,0.00641113,42093,6
7,0.00223536,8.788967885789821,0.00453558,45988,7
8,0.00323035,8.743093416045618,0.00513192,60677,8
9,0.00396776,8.580622989149306,0.00445897,77957,9
10,0.00374982,9.52430928914205,0.0069571,90256,10
11,0.00282627,9.572887715605136,0.011505,106132,11
12,0.00179722,9.812662754503599,0.0425976,117954,12
13,0.00248063,9.90260005558024,0.0849313,157928,13
14,0.00246013,9.921697992451175,0.0709096,172349,14
15,0.00330148,9.959522317976298,0.0576515,194456,15
16,0.00445786,10.016685515908609,0.0411571,196344,16
17,0.00447497,9.890959654248217,0.0906716,115070,17
18,0.0062024,10.379946699282907,0.12383,133049,18
19,0.00541233,10.552932485325318,0.250186,140123,19
20,0.0051604,10.591123783274295,0.303714,176117,20
21,0.00537975,10.619374654049231,0.349598,191805,21
22,0.00466975,10.691251988656202,0.395242,214177,22
23,0.00703428,10.758325553577155,0.621183,215353,23
24,0.00995327,10.763895317266671,0.906293,240326,24
25,0.01211032,10.810974827832396,0.760114,262132,25
26,0.012427879999999999,10.832681415066618,0.670294,274736,26
27,0.01299254,10.849427756434169,0.891771,294142,27
28,0.01486996,10.889847345398215,0.606217,243570,28
29,0.01512223,10.928586180756666,0.699438,235018,29
30,0.01619388,10.962702142905911,0.523853,246669,30
31,0.0152306,10.98907957091738,0.807078,257477,31
32,0.016435869999999998,11.054657376619804,0.786581,265377,32
33,0.01629435,11.10203477239454,1.02904,272007,33
34,0.017570969999999998,11.168936737121179,0.980707,276823,34
35,0.01791943,11.202534327228312,1.10324,286974,35
36,0.01572702,11.24223866147476,2.55973,296756,36
37,0.01667029,11.275481719513355,2.2461,308066,37
38,0.016819149999999998,11.31905101485015,2.78477,317655,38
39,0.01988757,11.344582537214848,1.63593,325637,39
40,0.021248839999999998,11.338885067628556,1.36461,331214,40
41,0.0216715,11.358074858467807,1.53562,322437,41
42,0.02057764,11.36054153958002,2.11942,327780,42
43,0.022217,11.367014039429476,1.71501,332757,43
44,0.0234418,11.361451788087987,1.40824,339908,44
45,0.021995300000000002,11.402511410627405,1.31303,342206,45
46,0.0211075,11.468581472234282,1.32476,344905,46
47,0.01782946,11.499854634112639,2.56003,352235,47
48,0.01772994,11.5262316475338,4.18303,363948,48
49,0.0246134,11.530079400680423,3.44578,370821,49
50,0.0253137,11.545576631871844,4.12689,367492,50
51,0.022497999999999997,11.588307277188092,6.15957,372743,51
52,0.0265055,11.596426637956169,4.90379,377267,52
53,0.0288086,11.611742744942132,5.12489,382577,53
54,0.0287247,11.622309491873278,6.78034,388185,54
55,0.0290298,11.628538247554664,7.58699,391665,55
56,0.030364799999999997,11.628649825099572,6.93792,396085,56
57,0.0322736,11.643285078776673,7.14233,399688,57
58,0.0327799,11.65799448767663,5.89269,402412,58
59,0.032930600000000004,11.683795518640082,5.53285,406785,59
60,0.0338049,11.692241530221981,5.65746,409128,60
61,0.0354435,11.699610651276064,6.77774,412832,61
62,0.0356272,11.71318314330232,6.95344,416395,62
63,0.0378858,11.723990296017263,6.44314,415623,63
64,0.0384023,11.733460980298835,5.43477,419729,64
65,0.0396824,11.750064964667304,4.29599,418750,65
66,0.0404082,11.758268509276084,4.25007,424373,66
67,0.0378179,11.775358763824887,5.02087,425729,67
68,0.0362662,11.778593397826112,9.54839,429705,68
69,0.0369646,11.766185980797168,9.5443,434452,69
70,0.0394037,11.762727724527792,8.23512,440250,70
71,0.0401838,11.756285203310375,7.28843,450766,71
72,0.0398315,11.759484947695656,7.03882,455454,72
73,0.0429484,11.761573636222172,6.07837,461215,73
74,0.043594999999999995,11.768396877148431,6.3367,463657,74
75,0.043659,11.772104191391225,5.1669,465767,75
76,0.0442438,11.782969155081567,4.45125,468100,76
77,0.0442639,11.782003274149778,5.80943,445882,77
78,0.0450899,11.786807149889933,4.53318,444926,78
79,0.0478553,11.798194181201564,3.73084,449557,79
80,0.0480569,11.80278382154778,3.13977,453135,80
81,0.048195100000000005,11.800797413699687,2.50565,457230,81
82,0.044534500000000005,11.810827180916075,2.31542,487603,82
83,0.0462076,11.817496275365986,2.34514,490687,83
84,0.041311600000000004,11.823296681663852,3.73668,496050,84
85,0.040792999999999996,11.828200596826973,4.49408,502712,85
86,0.0417567,11.833017738979619,4.60491,507880,86
87,0.0403878,11.8373598860294,8.00049,514399,87
88,0.0426932,11.840398946633075,7.41356,517309,88
89,0.0436969,11.841491000167505,7.63129,524786,89
90,0.0438854,11.842726762318838,8.60293,527445,90
91,0.0452874,11.84244303253294,6.01114,531626,91
92,0.044777,11.84125081756155,4.87777,534515,92
93,0.0439933,11.838331240567694,5.32362,537244,93
94,0.043566400000000005,11.824714841510616,5.56594,4,94
95,0.0423971,11.80398158957618,5.79605,4,95
96,0.0429233,11.790103492778503,6.84417,3,96
97,0.043866699999999995,11.764778874048135,7.56345,3,97
98,0.0468571,11.710234575468018,6.20262,7,98
99,0.050198900000000005,11.663878344401247,3.97566,8,99
